year,sentence,key_word
2018,"Girondins  Analyse  ,  l'  émission  radio  certifiée  ""  100  %  Girondins  -  100  %  Supporters  ""  ,  sera  ON  AIR  ,  ce  lundi  soir  ,  de  20  heures  30  à  22  heures  (  nouveaux  horaires  pour  la  saison  )  ,  afin  de  décortiquer  toute  l'  actu  du  FCGB  .",certifiée
2017,Les  policiers  certifient  qu'  elles  sont  majeures  .,certifient
2017,"Toutefois  ,  les  services  de  la  SDC  de  Bouira  certifient  que  toutes  les  facilitations  ont  été  mises  en  place  au  profit  des  abonnés  pour  que  ces  derniers  puissent  s'  acquitter  de  leur  redevance  .",certifient
2019,"Elle  est  devenue  la  montre  officiellement  certifiée  équipant  les  Américains  de  l'  espace  en  1965  (  ""  Flight  Qualified  By  NASA  For  All  Manned  Space  Missions  ""  )  .",certifiée
2014,"Aujourd  '  hui  ,  obtenir  au  moins  un  diplôme  ne  certifie  pas  d'  avoir  un  emploi  ,  mais  ne  pas  en  avoir  handicape  sérieusement  notre  insertion  professionnelle  .",certifie
2014,"Si  ce  genre  de  données  n'  existe  pas  pour  l'  Estrie  ,  il  faut  noter  la  stagnation  du  nombre  de  producteurs  certifiés  .",certifiés
2015,"En  attendant  ,  il  remettra  un  chèque  de  banque  certifié  d'  un  montant  de  15  millions  d'  euros  sur  le  bureau  du  président  du  tribunal  de  commerce  .",certifié
2018,"En  parallèle  de  cette  nouvelle  plutôt  positive  ,  Apple  a  confirmé  au  média  américain  The  Verge  que  la  puce  T  2  qui  équipe  ce  Macbook  Air  bloquera  certaines  réparations  si  elles  ne  sont  pas  effectuées  avec  des  composants  certifiés  et  /  ou  par  des  réparateurs  agréés  (  notre  article  )  .",certifiés
2019,Le  Moto  Z  4  est  maintenant  certifié  par  la  FCC  .,certifié
2017,"""  Plusieurs  maires  de  l'  arrondissement  m'  ont  fait  part  cet  été  de  leurs  inquiétudes  sur  cette  question  :  ces  contrats  utilisés  souvent  dans  le  secteur  périscolaire  ,  permettaient  des  emplois  indispensables  à  la  qualité  du  service  public  ""  ,  certifie  la  parlementaire  qui  évoque  de  réelles  difficultés  locales  pour  les  édiles  .",certifie
2017,Salim  Heddadji  est  certifié  CFA  et  titulaire  d'  un  Master  2  Gestion  des  risques  et  des  actifs  .,certifié
2014,"Elle  résulte  de  la  bonne  gestion  de  la  précédente  municipalité  ""  certifiait  l'  expert-comptable  qui  avait  déjà  usé  de  cet  argument  lors  du  précédent  conseil  .",certifiait
2020,"Et  ce  ,  en  dépit  du  fait  qu'  il  n'  existe  pas  d'  indications  officielles  tunisiennes  justifiant  cette  attitude  agressive  ,  certifie  Al-Araby  Al-Jadeed  ,  dans  un  article  ,  relayé  par  le  site  Middle  East  Monitor  .",certifie
2020,"De  seconde  main  ,  les  montures  vont  passer  entre  les  mains  expertes  d'  Amandin  Colvray  ,  de  l'  Atelier  bellerivois  Cycl  '  Espresso  afin  de  certifier  leur  condition  d'  utilisation  .",certifier
2020,"Résultat  ,  109  compagnies  aériennes  certifiées  dans  ces  pays  sont  inscrites  sur  la  liste  noire  .",certifiées
2016,"Outre  le  Maxwell  10  ,  les  autres  appareils  de  Gigaset  pro  sont  également  certifiés  pour  la  plate-forme  ISTRA  de  Centile  .",certifiés
2017,Le  commissaire  aux  comptes  en  2015  ne  certifie  pas  les  comptes  .,certifie
2020,"Sont  ainsi  certifiées  les  organisations  qui  proposent  un  environnement  de  travail  de  qualité  ,  favorisent  le  développement  des  talents  à  tous  les  échelons  et  s'  efforcent  d'  améliorer  en  permanence  leurs  pratiques  en  ressources  humaines  .",certifiées
2020,"Le  directeur  de  la  clinique  amiénoise  a  ,  comme  d'  autres  ,  formulé  une  demande  pour  importer  des  masques  chinois  non  certifiés  en  Europe  .",certifiés
2016,Beaucoup  de  gens  ont  voté  sans  carte  d'  identification  nationale  et  un  trop  fort  pourcentage  n'  a  pas  signé  le  registre  électoral  qui  certifie  le  vote  .,certifie
2018,"Booba  certifié  triple  disque  de  platine  avec  ""  Trône  ""  !",certifié
2016,"Et  le  fisc  veillera  au  grain  :  avant  le  15  mars  de  chaque  année  ,  les  plateformes  concernées  devront  faire  certifier  ,  par  un  tiers  indépendant  ,  qu'  elles  remplissent  bien  leurs  nouvelles  obligations  d'  information  .",certifier
2018,"Comme  la  FCC  aux  États-Unis  ,  la  TENAA  est  chargée  de  certifier  les  appareils  qui  seront  commercialisés  sur  le  territoire  en  Chine  .",certifier
2019,"Non  seulement  ce  spiral  réalisé  en  composite  de  carbone  bouscule  le  savoir-faire  horloger  traditionnel  ,  mais  il  améliore  également  les  performances  des  montres  dotées  du  mouvement  certifié  chronomètre  de  la  marque  .",certifié
2019,"C'  est  ce  que  laissent  entendre  plusieurs  documents  disponibles  sur  la  FCC  ,  l'  agence  de  régulation  des  télécommunications  américaine  ,  qui  certifie  huit  nouveaux  appareils  Google  .",certifie
2015,"Ils  sont  par  ailleurs  invités  à  ""  continuer  la  rétention  des  notes  et  moyennes  du  deuxième  et  du  troisième  trimestre  pour  exiger  entre  autres  ,  le  règlement  définitif  de  la  question  de  l'  examen  de  titularisation  de  la  licence  imposé  aux  professeurs  certifiés  d'  EPS  des  lycées  et  collèges  (  titulaires  du  CAPES  )  .",certifiés
2019,"'  Girondins  Analyse  '  ,  l'  émission  radio  certifiée  ""  100  %  Girondins  -  100  %  Supporters  ""  ,  est  bien  là  ,  ce  vendredi  soir  ,  de  20  heures  30  à  22  heures  (  horaires  fixés  pour  la  saison  )  ,  afin  de  décortiquer  toute  l'  actu  du  FCGB  .",certifiée
2020,"""  En  fait  ,  LibreOffice  -  grâce  à  sa  base  de  code  mature  ,  à  son  riche  ensemble  de  fonctionnalités  ,  à  sa  prise  en  charge  solide  des  normes  ouvertes  ,  à  son  excellente  compatibilité  et  aux  options  de  support  à  long  terme  de  partenaires  certifiés  -  représente  la  solution  idéale  pour  les  entreprises  qui  souhaitent  reprendre  le  contrôle  de  leurs  données  et  se  libérer  du  verrouillage  du  fournisseur  .",certifiés
2019,"Par  la  suite  ,  l'  Organisation  des  Nations  unies  (  ONU  )  devra  aussi  certifier  les  nouvelles  capacités  de  vol  de  ces  hélicoptères  .",certifier
2020,Les  données  partagées  sur  le  logiciel  sont  hébergées  par  les  serveurs  français  d'  Amazon  Web  Services  (  AWS  )  qui  a  été  certifié  hébergeur  de  données  de  santé  (  HDS  )  depuis  janvier  2019  .,certifié
2016,"Après  avoir  formé  et  certifié  plus  de  13.000  praticiens  en  France  et  en  Suisse  par  le  biais  de  mon  école  ""  Touch  Line  ""  ,  j'  ai  été  invité  au  Maroc  pour  former  l'  équipe  dans  le  Spa  du  Lido  /  Royal  Essalam  .",certifié
2020,"Oppo  devrait  reprendre  sa  gamme  Find  X  en  2020  ,  avec  deux  nouveaux  smartphones  certifiés ",certifiés
2020,"Cependant  ,  le  CCD  (  Conseil  des  Camerounais  de  la  Diaspora  )  qui  a  toujours  été  à  l'  organisation  de  différentes  manifestations  en  France  et  quelques  fois  ailleurs  ,  par  souci  de  transparence  tient  à  certifier  vis-à-vis  de  l'  opinion  que  les  12.494,39  ₤  sont  restés  bloqués  jusqu'  à  présent  ,  malgré  les  démarches  courageuses  et  laborieuses  menées  par  Me  Amédée  Touko  ,  un  homme  d'  une  intégrité  morale  sans  faille  dont  nous  saluons  ici  l'  engagement  aux  côtés  de  la  Diaspora  combattante  et  qui  ne  désespère  pas  d'  arriver  très  prochainement  au  bout  de  ses  démarches  .",certifier
2017,"""  La  volonté  du  Symo  est  d'  intensifier  les  actions  à  caractère  pédagogique  pour  promouvoir  une  alimentation  saine  ,  utilisant  des  produits  locaux  de  qualité  ""  ,  certifie  François  Hauton  .",certifie
2019,"Le  principe  ne  bouleversera  pas  vos  habitudes  ,  il  suffira  d'  utiliser  Touch  ID  ou  encore  l'  identification  faciale  ,  sauf  qu'  une  seconde  étape  permettra  de  certifier  la  validation  ,  un  nouveau  message  s'  affichera  pour  être  réellement  certain  qu'  il  s'  agit  d'  un  acte  volontaire  .",certifier
2015,"Hier  ,  l'  homme  a  certifié  que  c'  était  faux  ""  ,  s'  est  insurgé  Me  Bouchat  ,  avocat  de  la  défense  ,  en  s'  adressant  au  jury  .",certifié
2018,"La  cérémonie  de  signature  a  été  marquée  par  le  lancement  de  la  2  è  édition  spéciale  femmes  du  club  PME  ,  une  initiative  visant  à  accompagner  et  à  sensibiliser  les  femmes  entrepreneures  en  leur  offrant  un  cycle  de  formation  certifié  de  3  mois  et  un  accompagnement  personnalisé  .",certifié
2017,Le  clavier  Razer  BlackWidow  Ultimate  version  2017  est  certifié  IP  54,certifié
2017,Reconnaissance  :  L'  Académie  internationale  Mohammed  VI  de  l'  aviation  civile  certifiée  ISO  9001,certifiée
2015,"La  RIAA  (  Recording  Industry  Association  of  America  )  annonce  que  Thriller  est  désormais  certifié  ""  30  fois  multi-platine  ""  aux  Etats-Unis  .",certifié
2020,"La  marque  assurait  que  ses  OnePlus  7  et  7  Pro  étaient  bien  étanches  ,  mais  ne  les  certifiait  pas  pour  autant  .",certifiait
2019,"Elle  permet  en  effet  de  faire  à  la  transaction  ce  qu'  Internet  a  fait  à  l'  information  ,  grâce  à  sa  capacité  à  certifier  des  transactions  de  manière  décentralisée  .",certifier
2019,"Pour  avoir  accès  à  certains  marchés  publicitaires  ,  les  médias  traditionnels  doivent  faire  certifier  leur  portée  réelle  par  des  audits  externes  .",certifier
