year,sentence,key_word
2014,"Il  y  aura  aussi  les  défilés  en  hommage  à  Braque  ,  les  vestes  brodées  des  Tournesols  de  Van  Gogh  ,  les  clins  d'  oeil  à  Vélasquez  .",brodées
2014,"C'  est  désormais  un  rendez-vous  pérenne  :  Vincent  Roca  revient  chaque  année  à  la  Cave  Poésie  broder  ses  mots  en  orfèvre  de  la  langue  ,  la  cultiver  ,  la  retourner  dans  tous  les  sens  avec  beaucoup  d'  esprit  .",broder
2014,"Robe  en  soie  et  dentelle  brodée  de  perles  ,  Emilio  Pucci  .",brodée
2014,"Pour  ses  audiences  sur  la  place  Saint-Pierre  ,  Benoît  XVI  portait  fièrement  le  ""  galero  ""  ,  un  chapeau  écarlate  à  larges  bords  et  brodé  d'  or  .",brodé
2014,"Au  cours  de  ses  tournées  dans  le  monde  ,  il  acheta  des  tentures  ,  des  textiles  ,  des  tissus  anciens  brodés  et  damassés  ,  des  châles  ...  tout  pour  concevoir  un  écrin  baroque  et  de  toutes  les  provenances  .",brodés
2014,"Avec  une  aiguille  à  broder  assez  fine  ,  commencer  à  broder  le  motif  au  milieu  du  papier  en  maintenant  les  deux  épaisseurs  de  kraft  avec  des  trombones  .",broder
2014,"Pourtant  ,  depuis  maintenant  quatre  ans  ,  elle  tisse  ,  brode  et  manipule  le  fil  avec  une  telle  aisance  qu'  on  dirait  qu'  elle  a  fait  ça  toute  sa  vie  .",brode
2014,"Le  gros  lot  a  été  celui  remis  par  Mme  Kane  composé  d'  un  chameau  bien  décoré  ,  d'  un  tableau  et  des  boubous  bazins  riches  bien  brodés  .",brodés
2014,"Poche  téléphone  ,  initiales  ou  prénom  brodés  :  tous  mes  vêtements  sont  personnalisés  .",brodés
2014,":  Premium  bâche  de  tissu  remplace  vinyle  standard  ,  en  acier  inoxydable  front  européen  et  pare-chocs  arrière  avec  pochettes  personnalisées  ,  15  roues  ""  en  alliage  de  Spider  Europa  importé  d'  '  Allemagne  avec  pneus  haute  performance  à  profil  bas  ,  Pack  chrome  qui  comprend  deux  miroirs  d'  '  époque  ,  calandre  révisée  et  le  fascia  ,  cuir  Avanti  amélioré  paquet  intérieur  ,  garniture  intérieure  améliorée  ,  double  chrome  pourboire  système  Ansa  d'  '  échappement  ,  Nardi  italien  volant  en  bois  ,  pommeau  de  levier  et  de  l'  '  assiette  ,  kit  européenne  abaissant  la  coutume  révisé  suspension  ,  personnalisé  brodé  en  peluche  tapis  de  sol  Pininfarina  ,  Chrome  entoure  pour  jauges  ,  son  amélioré  ,  uniques  badges  ""  Lusso  ""  .  pour  plus  de  détails  écrivez-moi  .",brodé
2014,"Rangez  le  blouson  vert  fluo  de  vos  14  ans  ,  le  pull  avec  des  flocons  de  neige  et  la  cagoule  avec  votre  nom  brodé  en  rouge  .",brodé
2014,"C'  est  dans  une  magnifique  robe  brodée  blanche  que  Sandy  Coops  apparait  aux  bras  de  son  compagnon  à  l'  occasion  de  son  anniversaire  au  Five  ,  à  Saint-Pierre  ,  samedi  4  janvier  2014  .",brodée
2014,"A  l'  intérieur  pas  de  placages  carbone  traduisant  sa  ""  sportivité  ""  accrue  pour  autant  ,  des  inserts  de  noir  laqué  faisant  simplement  leur  apparition  ,  tout  comme  un  discret  logo  brodé  en  forme  de  ""  V  ""  sur  l'  accoudoir  central  arrière  .",brodé
