year,sentence,key_word
2014,"Le  groupe  de  location  de  voitures  Hertz  a  bondi  de  10,46  %  à  28,62  dollars  .",voitures
2014,Jerry  Seinfeld  reprend  du  service  dans  une  voiture  avec  des  comiques,voiture
2014,Jerry  Seinfeld  aime  les  voitures  .,voitures
2014,Seinfeld  soutient  qu'  il  ne  se  prépare  jamais  pour  sa  prochaine  balade  en  voiture  accompagné  d'  une  personnalité  .,voiture
2014,"Deux  attentats  à  la  voiture  piégée  ont  eu  lieu  dans  le  quartier  de  Zaafaraniyah  situé  dans  le  sud-est  de  Bagdad  mardi  soir  ,  tuant  quatre  personnes  et  blessant  10  autres  ,  a  dit  à  l'  agence  Xinhua  une  source  policière  sous  couvert  d'  anonymat  .",voiture
2014,"Toujours  mardi  soir  ,  une  autre  voiture  piégée  a  explosé  dans  le  quartier  de  Kamaliyah  situé  dans  l'  est  de  Bagdad  ,  faisant  un  mort  et  cinq  autres  blessés  parmi  les  habitants  ,  a  indiqué  cette  source  ,  ajoutant  que  11  personnes  ont  été  blessées  quand  une  quatrième  voiture  piégée  a  explosé  dans  le  quartier  Jamila  à  l'  est  de  la  capitale  .",voiture
2014,"De  tout  ,  et  pourquoi  pas  de  voiture  .",voiture
2014,L'  anecdote  est  rapportée  par  la  presse  norvégienne  :  une  employée  a  téléphoné  à  son  bureau  depuis  le  parking  de  sa  société  parce  qu'  elle  devait  impérativement  recharger  les  batteries  de  sa  voiture  électrique  et  qu'  il  n'  y  avait  plus  de  place  disponible  .,voiture
2014,"Plus  personne  ne  l'  ignore  :  la  Norvège  a  pris  une  série  de  mesures  pour  encourager  l'  achat  de  voitures  électriques  ,  de  la  suppression  des  taxes  au  péage  urbain  gratuit  via  l'  accès  aux  bandes  utilisées  par  les  autobus  ,  des  espaces  réservés  dans  les  parkings  ,  des  bornes  de  recharge  en  suffisance  et  elles  aussi  gratuites  etc  .",voitures
2014,"Le  problème  est  qu'  aujourd  '  hui  la  voiture  électrique  est  jugée  encombrante  :  elle  monopolise  à  Oslo  75  %  des  bandes  réservées  aux  autobus  et  risque  d'  y  provoquer  des  bouchons  ;  et  si  le  pays  compte  5.000  bornes  de  recharge  dont  500  à  Oslo  ,  leur  nombre  va  devenir  insuffisant  pour  les  13.000  nouveaux  véhicules  immatriculés  cette  année  .",voiture
2014,"Mais  ,  au-delà  de  ces  caractéristiques  hors  du  commun  ,  l'  achat  d'  une  voiture  de  ce  type  et  disponible  en  nombre  réduit  peut  être  un  placement  lucratif  .",voiture
2014,"Les  trente-sept  vendeurs-colporteurs  qui  chaque  nuit  ,  et  par  tous  les  temps  ,  se  lèvent  aux  alentours  de  3  heures  pour  aller  chercher  le  journal  au  dépôt  de  presse  dans  la  rue  de  l'  Industrie  à  la  Pierrette  et  l'  acheminer  jusqu'  à  votre  boîte  à  lettres  ,  en  voiture  ou  à  vélo  ,  bénéficieront  de  quelques  heures  pour  souffler  .",voiture
2014,"Un  éléphant  ,  qui  a  attaqué  et  renversé  une  voiture  transportant  des  touristes  ,  blessant  une  Anglaise  ŕ  la  cuisse  avec  sa  défense  ,  a  été  abattu  au  Parc  Kruger  en  Afrique  du  Sud  ,  ont  déclaré  mardi  les  responsables  du  parc  .",voiture
2014,"L'  éléphant  mâle  a  blessé  lundi  un  couple  de  touristes  qui  filmait  l'  animal  ,  aprčs  s'  en  ętre  pris  ŕ  leur  voiture  dans  la  réserve  naturelle  sud-africaine  .",voiture
2014,"ŤL  '  animal  s'  est  soudainement  arręté  ,  a  fait  demi-tour  et  s'  est  dirigé  rapidement  vers  la  voiture  qui  était  garéeť  ,  a  déclaré  un  responsable  du  parc  .",voiture
2014,"ŤL  '  éléphant  les  a  chargés  ,  attaquant  la  voiture  et  la  retournant  sur  le  bord  de  la  route  dans  les  épaisses  broussailles  .  ť",voiture
2014,"Le  conducteur  ,  un  quadragénaire  ,  roulait  en  direction  de  Zaventem  lorsqu'  il  a  percuté  ,  vers  23  h  30  ,  une  autre  voiture  pour  une  raison  encore  inconnue  .",voiture
2014,Le  conducteur  a  réussi  à  s'  extirper  lui-même  de  la  voiture  malgré  une  blessure  importante  à  la  tête  .,voiture
2014,"Par  ailleurs  ,  trois  voitures  appartenant  à  des  Palestiniens  ont  été  incendiées  mardi  dans  la  localité  de  Jalazoune  proche  de  Ramallah  ,  siège  de  l'  Autorité  palestinienne  ,  quelques  heures  après  la  libération  des  prisonniers  .",voitures
2014,"Actuellement  ,  seules  700  voitures  motorisées  au  gaz  naturel  circulent  sur  les  routes  belges  ,  pour  un  total  de  7  millions  de  véhicules",voitures
2014,"L'  Association  royale  des  gaziers  belges  (  ARGB  )  ,  réunissant  les  fournisseurs  et  les  gestionnaires  de  réseaux  de  distribution  actifs  en  Belgique  ,  a  décidé  d'  offrir  2.000  euros  de  prime  pour  chaque  commande  de  voiture  CNG  (  Compressed  Natural  Gas  )  enregistrée  d'  ici  la  fin  du  mois  de  février  2014  ,  rapportent  L'  Echo  et  De  Tijd  mardi  .",voiture
2014,"Certains  marques  de  voitures  soutiendront  d'ailleurs  cette  décision  en  augmentant  la  réduction  lors  du  Salon  automobile  de  Bruxelles  ,  qui  s'  ouvrira  dans  deux  semaines  .",voitures
2014,"Seules  700  voitures  motorisées  au  gaz  naturel  circulent  sur  les  routes  belges  ,  pour  un  total  de  7  millions  de  véhicules  .",voitures
2014,Des  proportions  bien  inférieures  aux  volumes  atteints  en  Allemagne  (  100.000  voitures  au  CNG  fin  2013  )  ou  en  Italie  (  59.000  immatriculations  en  2012  )  notamment  .,voitures
2014,Le  secteur  souhaite  atteindre  un  parc  de  250.000  voitures  au  CNG  en  2025  .,voitures
2014,"Malheureusement  une  autre  voiture  ,  une  Toyota  Matrix  ,  arrivait  en  sens  inverse  et  la  collision  fut  inévitable  .",voiture
2014,"La  conductrice  de  l'  autre  voiture  ,  qui  est  quant  à  elle  âgée  de  22  ans  ,  n'  a  subi  que  de  légères  blessures  .",voiture
2014,"La  société  ,  numéro  2  de  la  location  de  voitures  aux  Etats-Unis  ,  explique  avoir  observé  une  activité  inhabituelle  et  importante  sur  son  capital  ,  sans  pour  autant  avoir  reçu  une  manifestation  d'  intérêt  .",voitures
2014,Le  Monte-Carlo  est  dans  tous  les  esprits  et  on  cessera  d'  en  parler  seulement  quand  les  voitures  seront  parties  .,voitures
2014,Il  rentrait  crevé  mais  il  n'  avait  pas  les  moyens  d'  acheter  une  voiture  ...,voiture
2014,"Mais  au  Charrel  ou  au  Pin  vert  ,  il  y  a  aussi  les  personnes  âgées  qui  n'  ont  pas  les  moyens  d'  acheter  une  voiture  .",voiture
2014,"Amélie  Floriot  rapporte  que  son  amoureux  a  mérité  un  doigt  d'  honneur  bien  senti  d'  une  dame  en  voiture  ,  qui  a  ralenti  expressément  devant  la  caserne  pour  s'  exécuter  .",voiture
2014,"Pour  une  raison  qui  reste  à  déterminer  ,  deux  voitures  contenant  deux  occupants  chacune  se  sont  percutées  ,  à  18  heures  ,  sur  la  route  du  4  e  Spahis  ,  fermant  de  fait  la  circulation  .",voitures
2014,"Sans  permis  ,  armé  ,  un  SDF  vole  une  voiture ",voiture
2014,"Les  agents  l'  ont  surpris  en  flagrant  délit  de  vol  de  voiture  ,  avenue  de  Bellande  ,  à  Aubenas  .",voiture
2014,"Lors  de  sa  garde  à  vue  ,  son  ADN  l'  a  confondu  dans  une  autre  affaire  :  en  octobre  2012  ,  à  Quissac  (  Gard  )  ,  l'  homme  aurait  également  volé  une  voiture  ,  avant  de  la  détruire  .",voiture
2014,La  voiture  en  fuite  toujours  recherchée,voiture
2014,"Alors  qu'  il  s'  était  engagé  sur  la  RD  1006  ,  il  a  été  violemment  percuté  ,  à  l'  arrière  ,  par  une  voiture  .",voiture
2014,Des  éléments  qui  devraient  leur  permettre  d'  identifier  la  voiture  .,voiture
2014,"Celui-ci  ,  porteur  d'  une  moustache  particulièrement  saillante  ,  se  prend  en  photo  dans  son  lit  ,  devant  son  miroir  ,  dans  sa  voiture  ,  à  la  salle  de  gym  ...",voiture
2014,"Avec  une  fausse  moustache  ,  Danielle  se  montre  donc  dans  son  lit  ,  devant  son  miroir  ,  dans  sa  voiture  ,  à  la  salle  de  gym  ...",voiture
2014,Les  allemands  ont  exposé  leur  voiture  dès  le  salon  de  Los  Angeles  pour  la  rendre  disponible  dès  la  sortie  du  jeu  vidéo  le  6  décembre  dernier  .,voiture
2014,"Parce  que  c'  est  ainsi  que  commencent  les  titres  des  articles  :  ""  ivres  ,  ils  volent  un  lama  ""  ,  ""  ivre  ,  il  percute  une  voiture  de  police  ""  etc  .",voiture
2014,"Le  jeudi  18  avril  ,  un  étudiant  bordelais  ,  en  état  d'  ébriété  ,  cherchait  une  voiture  pour  le  conduire  du  quartier  des  Chartrons  à  la  porte  de  Bourgogne  .",voiture
2014,"C'  est  en  arrivant  au  commissariat  central  et  en  voyant  toutes  les  voitures  de  police  ,  que  le  jeune  homme  a  réalisé  .",voitures
2014,L'  homme  est  arrivé  au  volant  de  sa  voiture  à  la  gendarmerie  .,voiture
2014,"Fin  décembre  ,  il  a  emprunté  sur  1,5  km  ,  en  voiture  ,  les  rails  en  direction  du  Lot-et-Garonne  .",voiture
2014,"Le  policier  avait  évité  le  coup  de  boule  quelques  secondes  plus  tôt  ,  la  vitre  arrière  de  la  voiture  de  police  ,  elle  ,  n'  y  a  pas  résisté  .",voiture
2014,"Dépités  ,  ils  s'  attaquent  à  la  vitrine  de  l'  établissement  et  raflent  des  bouteilles  d'  alcool  ,  avant  de  repartir  ...  en  voiture  .",voiture
2014,"Traverser  la  Suisse  en  voiture  devra  ,  dès  l'  an  prochain  ,  se  faire  phares  allumés  ,  même  en  journée  .",voiture
2014,Les  brigades  des  douanes  utilisent  des  scanners  couplés  à  un  système  informatique  intelligent  afin  d'  opérer  un  screening  des  voitures  .,voitures
2014,"Après  ce  délai  ,  si  la  facture  n'  est  pas  payée  ,  la  douane  stockera  la  voiture  et  pourrait  même  la  mettre  en  vente  .",voiture
2014,"Par  ailleurs  ,  des  voitures  ont  été  incendiées  ,  notamment  dans  le",voitures
2014,"Pas  moins  de  200  Responsible  Young  Drivers  (  RYD  )  ont  ramené  à  domicile  environ  400  voitures  et  1.000  fêtards  ,  a  indiqué  l'  organisation  mercredi  matin  dans  un  communiqué  .",voitures
2014,"De  passage  récemment  dans  le  Massachusetts  ,  la  star  américaine  avait  ravi  tous  les  clients  d'  un  supermarché  Walmart  de  la  ville  de  Tewksbury  en  leur  offrant  des  cartes  cadeaux  d'  une  valeur  de  50  dollars  .  Paul  Walker  ,  l'  acteur  de  Fast  &  Furious  décédé  dans  un  accident  de  voiture  le  30  novembre  dernier  ,  est  quatrième  de  ce  classement  .",voiture
2014,"Le  gouvernement  a  déclaré  la  confrérie  ""  organisation  terroriste  ""  la  semaine  passée  après  un  attentat  suicide  à  la  voiture  piégée  contre  la  police  ayant  fait  15  morts  ,  bien  qu'  il  ait  été  condamné  par  les  Frères  musulmans  et  revendiqué  par  des  jihadistes  sans  lien  connu  avec  les  Frères  .",voiture
2014,Il  circulait  en  voiture  et  venait  de  Mauritanie  .,voiture
2014,"Après  une  inauguration  en  grande  pompe  en  présence  du  ministre  de  l'  Intérieur  Manuel  Valls  ,  un  week-end  de  fête  ,  avec  en  point  d'  orgue  une  originale  Macadam  Party  organisée  par  le  conseil  général  du  Lot  ,  a  permis  à  plus  de  2000  personnes  de  fouler  le  bitume  tout  neuf  avant  les  voitures  et  les  camions  .",voitures
