year,sentence,key_word
2014,"On  a  vu  jusqu'  à  des  prêtres  sans  nombre  ,  --  parmi  lesquels  devaient  se  trouver  pourtant  de  candides  serviteurs  de  Dieu  ,  --  s'  enflammer  à  l'  espoir  d'  une  bousculade  prochaine  où  le  sang  d'  Israël  serait  assez  répandu  pour  soûler  des  millions  de  chiens  ,  cependant  que  les  intègres  moutons  du  Bon  Pasteur  brouteraient  ,  en  bénissant  Dieu  ,  les  quintefeuilles  et  les  trèfles  d'  or  dans  les  pâturages  enviés  de  la  Terre  de  promission  .",soûler
2014,Ou  l'  euphorie  produite  par  les  applaudissements  -  qui  soûlent  un  politicien  plus  sûrement  qu'  un  litre  de  vodka  siphonné  avec  une  paille  ?,soûlent
2014,Je  deviens  spécialiste  des  chutes  en  descente  et  ça  comme  à  me  soûler  un  peu  .,soûler
2014,"C'  est  sous  Philippe  le  Bel  ,  le  massacreur  des  templiers  ,  que  le  fisc  a  pris  son  essor  ,  après  avoir  ,  comme  l'  écrivait  Jules  Michelet  ,  ""  crié  en  naissant  ""  ,  tel  le  Gargantua  de  Rabelais  :  ""  À  manger  !  À  boire  !  ""  ""  L'  enfant  terrible  dont  on  ne  peut  soûler  la  faim  atroce  ,  poursuivait  Michelet  ,  mangera  au  besoin  de  la  chair  et  boira  du  sang  .",soûler
2014,"Le  chanteur  n'  a  pas  non  plus  tenu  à  faire  un  long  discours  de  remerciement  :  ""  Je  ne  veux  pas  vous  soûler  ""  ,  a-t-il  plaisanté  devant  le  public  .",soûler
2014,"Inconvénient  :  Les  blagues  et  anecdotes  sur  le  sexe  ,  c'  est  cool  pendant  un  temps  ,  mais  avec  lui  c'  est  possible  qu'  il  finisse  par  te  soûler  et  même  par  devenir  un  peu  flippant  .",soûler
2014,"Trois  abonnés  sur  cinq  de  Netflix  se  soûlent  de  télé  régulièrement  ,  selon  un  sondage  diffusé  la  veille  de  la  mise  en  ligne  de  la  nouvelle  saison  .",soûlent
2014,"Erich  ,  emblématique  capitaine  de  la  péniche  ""  Le  cri  de  la  mouette  ""  ,  long  bateau  blanc  amarré  sur  le  canal  de  Brienne  ,  aux  allées  de  Barcelone  ,  est  récompensé  à  la  fois  pour  sa  programmation  hétéroclite  ,  le  cadre  insolite  de  son  bar-discothèque  flottant  ,  et  les  efforts  consentis  pour  limiter  le  nombre  de  décibels  à  100  et  donc  ,  comme  dit  Erich  ,  ""  faire  la  fête  sans  soûler  les  voisins  ""  .",soûler
2014,'  We  need  a  young  se  kills  in  se  soûlant  for  that  politicians  react  ?,soûlant
2014,"""  Il  était  seul  désormais  pour  travailler  ,  se  soûler  et  donner  à  manger  aux  chiens  et  mourir  .",soûler
2014,"Il  nous  est  recommandé  d'  utiliser  les  Vélib  '  ,  c'est-à-dire  de  respirer  à  pleins  poumons  les  gaz  d'  échappement  des  voitures  devant  nous  et  de  nous  soûler  de  l'  air  vicié  qui  plane  sur  la  capitale  ...",soûler
2014,Il  est  venu  soûler  Gérard  parce  que  j'  avais  changé  de  numéro  entre-temps  et  il  lui  a  dit  à  quel  point  il  était  fou  de  moi  .,soûler
2014,"Il  l'  affirme  aujourd  '  hui  :  il  est  finalement  ""  recommandé  ""  de  ne  pas  répondre  à  toutes  les  demandes  ,  au  risque  de  ""  soûler  tout  le  monde  ""  .",soûler
2014,"""  Ca  suffit  ,  ils  m'  ont  soûlé  ces  cons-là  .",soûlé
2014,"Réputée  pour  son  caractère  bien  trempé  ,  elle  est  a  dit  ce  qu'  elle  pensait  de  Kelly  ,  Christie  et  Nelly  ,  avec  qui  ce  n'  est  pas  l'  amour  fou  :  ""  Ça  me  soûle  ce  genre  de  meufs  qui  ,  devant  nous  ,  ferment  leur  gueule  et  attendent  Twitter  pour  nous  clasher  ""  ,  a-t-elle  déclaré  .",soûle
2014,"Le  trident  Suarez  ,  Sturridge  et  Sterling  a  multiplié  les  appels  au  point  de  donner  le  tournis  à  l'  arrière  garde  citizen  soûlée  de  coups  et  sonnée  presque  d'  entrée  par  un  premier  uppercut  de  Sterling  .",soûlée
2014,"Aujourd  '  hui  ça  me  soûle  ,  lorsque  je  croise  des  gens  ils  ne  parlent  presque  que  de  ça  .",soûle
2014,"On  est  soûlés  de  modèles  ,  comme  un  boxeur  est  soûlé  de  coups  ""  ,  estime  Eric  Zemmour  .",soûlés
2014,"Néophyte  dans  la  direction  d'  entreprise  ,  il  subit  son  ""  dépucelage  ""  à  ""  Libé  ""  ,  découvre  la  gouvernance  -  ""  c'  est  lourd  ,  ça  bloque  tout  ""  ,  dit-il  ,  l'  air  soûlé  .",soûlé
2014,"""  Le  but  ,  ce  n'  est  pas  que  les  gens  se  disent  que  c'  est  une  opportunité  pour  se  soûler  jusqu'  à  six  heures  du  matin  ,  explique  Martin  Guimond  ,  le  propriétaire  du  Saint-Bock  ,  sur  Saint-Denis  .",soûler
2014,"Nos  générations  ont  été  soûlées  de  slogans  ,  aussi  assénés  que  privés  d'  explications  ;  par  exemple  ,  la  nécessité  pour  les  chrétiens  de  ""  l'  ouverture  au  monde  ""  .",soûlées
2014,"Après  avoir  volé  des  radios  d'  auto  pour  le  compte  d'  un  gang  de  rue  ,  Dave  ,  jeune  frondeur  qui  n'  a  pas  la  langue  dans  sa  poche  ,  va  fêter  son  exploit  en  se  soûlant  dans  un  bar  .",soûlant
2014,"J'  avais  vu  tous  leurs  films  plusieurs  fois  et  ,  au  début  ,  je  leur  ai  posé  un  tas  de  questions  de  fan  ,  au  risque  de  les  soûler  !  Dans  Le  Fils  ,  par  exemple  ,  mon  préféré  avec  Le  Gamin  au  vélo  ,  j'  avais  été  émerveillée  par  une  scène  où  l'  enfant  passe  à  l'  arrière  de  la  voiture  conduite  par  Olivier  Gourmet  .",soûler
2014,"Ils  auraient  pu  casser  des  sièges  ,  foutre  la  pagaille  en  corrigeant  leurs  joueurs  ,  irradier  le  stade  ,  insulter  le  corps  arbitral  et  leurs  familles  ,  se  soûler  pour  oublier  .",soûler
2014,"Décontenancée  ,  Sunhi  rencontre  alors  un  ex-petit  ami  ,  Munsu  ,  avec  qui  elle  se  soûle  .",soûle
2014,"Si  Rob  Ford  ne  nous  avait  pas  tous  déjà  soûlés  avec  l'  immensité  de  sa  dérive  ,  on  en  ferait  bien  plus  grand  cas  .",soûlés
2014,"Autour  de  ses  verres  de  thé  ,  elle  vous  soûlait  avec  les  vertus  des  différents  thés  ,  de  leurs  origines  etc  ...",soûlait
2014,"Il  trouve  un  havre  ,  où  il  se  soûle  .",soûle
2014,"Une  fois  ,  il  a  voulu  faire  le  pèlerinage  à  la  Mecque  juste  pour  se  soûler  dans  la  Kaaba  .",soûler
2014,"Interrogé  par  Michel  Ciment  ,  Losey  se  souvient  :  ""  Ce  fut  une  très  rude  soirée  pendant  laquelle  tout  le  monde  se  soûla  abondamment  ,  sauf  moi  ,  qui  étais  par  chance  dans  une  de  mes  périodes  sans  boisson  .",soûla
2014,"Il  insiste  ,  soûle  l'  Inca  avec  des  citations  de  la  Bible  .",soûle
2014,"""  À  l'  issue  de  ce  livre  centré  sur  mes  souvenirs  ,  j'  étais  soûlée  de  moi-même  .",soûlée
2014," Soûlés  de  coups  -  31  tirs  à  13  au  terme  du  tiers  médian  -  ,  les  hommes  de  McSorley  n'  ont  fait  illusion  qu'  après  la  réussite  de  Kast  (  31  e  )  .",soûlés
2014,"Une  vingtaine  de  degrés  affichés  sur  la  bouteille  :  le  Salers  est  moins  fort  que  l'  eau  de  vie  et  Fernande  ,  grande  habituée  ,  a  dû  mal  à  se  soûler  avec  .",soûler
2014,"On  disait  ""  film  du  trop-plein  ""  :  il  arrive  parfois  que  l'  on  soit  soûlé  par  tant  de  tchatche  ,  d'  humour  ,  de  joual  (  dialecte  québécois  )  ,  de  montagnes  russes  émotionnelles  ,  de  performances  ,  par  tant  de  tout  qui  déborde  de  partout  ,  mais  il  en  va  de  ce  film  comme  de  son  auteur  :  c'  est  entier  ,  à  prendre  ou  à  laisser  ,  sans  demi-mesures  ou  ratiocination  .",soûlé
2014,"Pour  cette  scène  ,  l'  acteur  joue  Patrick  ,  un  homme  en  crise  de  la  quarantaine  en  congrès  à  Québec  en  train  de  se  soûler  la  gueule  .",soûler
2014,"""  On  nous  soûle  un  peu  avec  la  Nouvelle  Vague  .",soûle
2014,"Je  me  soûlais  tous  les  week-ends  ,  j'  allais  sans  doute  finir  par  me  droguer  .",soûlais
2014,"""  Une  envie  de  partir  de  ce  monde  de  merde  ,  je  vais  rejoindre  le  ciel  ,  ça  me  soûle  ""  .",soûle
2014,Pas  question  que  cette  fille  le  soûle  davantage  .,soûle
2014,"Le  chanteur  britannique  estime  qu'  ""  on  a  soûlé  les  gens  ""  avec  cette  chanson  sortie  en  2005  ,  dans  un  entretien  au  magazine  ""  Hello  ""  .",soûlé
2014,"James  Blunt  admet  avoir  ""  soûlé  les  gens  ""  avec  ""  You  '  re  beautiful  """,soûlé
2014,"Dans  une  interview  ,  le  chanteur  britannique  estime  qu'  on  a  ""  soûlé  les  gens  avec  ""  son  tube  planétaire  ""  You  '  re  beautiful  ""  .",soûlé
2014,"Oh  vous  l'  avez  déjà  rejoint  pompetounette  après  une  apéro  copines  (  à  parler  de  lui  ,  de  ses  exploits  sexuels  et  ...  de  lui  )  mais  vient  ce  jour  fatidique  où  vous  vous  soûlez  A  DEUX  .",soûlez
2014,"Quelques  heures  avant  de  se  donner  la  mort  ,  il  poste  un  message  sur  ce  même  réseau  social  :  ""  Une  envie  de  partir  de  ce  monde  de  merde  ,  je  vais  rejoindre  le  ciel  ,  ça  me  soûle  ""  .",soûle
2014,"Lâche  ,  infidèle  et  menteur  ,  il  profite  de  ses  journées  de  chômage  pour  jouer  aux  jeux  vidéo  ou  se  soûler  dans  le  bar  de  sa  sœur  .",soûler
2014,"Pour  illustrer  son  propos  ,  l'  acteur  a  ensuite  fait  une  comparaison  éloquente  :  ""  Je  peux  sauter  dans  ma  voiture  ,  conduire  jusqu'  à  Las  Vegas  ,  me  soûler  ,  rencontrer  une  femme  et  l'  épouser  pour  200  dollars  .",soûler
2014,"""  Pour  le  Parisien  ,  il  a  logiquement  ""  récolté  les  fruits  de  son  travail  de  sape  ""  :  ""  Avec  62  coups  gagnants  ,  symbole  d'  une  tactique  très  offensive  ,  il  a  soûlé  un  Gasquet  très  rapidement  dans  le  rouge  .",soûlé
2014,"Elles  restaient  à  la  maison  pendant  que  leurs  maris  allaient  se  soûler  ,  se  battre  ou  chasser  le  kangourou  .",soûler
2014,"""  Les  parents  devraient  prendre  conscience  que  les  ados  qui  aiment  se  soûler  rapidement  avant  l'  âge  légal  risquent  davantage  de  maintenir  cette  habitude  au  fil  des  ans  .",soûler
2014,"Sa  musique  sent  un  bar  de  la  Californie  seventies  ,  et  elle  soûle  agréablement  les  oreilles  .",soûle
2015,"""  Ça  me  soûle  ,  ton  truc  ,  râle  Edouard  ,  mon  mec  depuis  cinq  ans  .",soûle
2015,"Pour  cela  ,  nous  devons  élever  nos  débats  ,  ne  plus  mettre  sur  le  même  pied  la  réflexion  des  sages  et  les  bafouillements  des  ignorants  qui  confondent  préjugés  et  pensée  ,  injures  et  sens  critique  et  qui  se  soûlent  de  leurs  mots  incohérents  qui  s'  étalent  sur  la  toile  .",soûlent
2015,"Eu  envie  qu'  elle  me  chante  Paris  toutes  époques  ,  l'  opportune  Zaz  ,  remonter  avec  elle  les  Champs-Élysées  de  Dassin  autant  que  me  soûler  en  sa  compagnie  de  la  gaieté  de  Trenet  ,  tiens  ,  La  romance  de  Paris  ,  avec  Thomas  Dutronc  pour  la  touche  Reinhardt  .",soûler
